codigo_erp,cod_grupo_articulo_corregido
26.03.01,34.37.00
26.03.02,34.37.00
26.03.02.002,34.37.00
26.03.02.004,34.37.00
26.03.02.005,34.37.00
26.03.02.006,34.37.00
26.03.02.007,34.37.00
26.03.03,34.37.00
27.01.06.001,34.50.00
27.01.10.001,34.50.00
30.01.01.02,99.37.00
30.02.01.004,28.07.00
30.02.01.005,28.07.00
31.02.01.001,99.37.00
32.01.01.001,99.37.00
32.01.01.002,99.37.00
32.01.01.003,99.37.00
32.01.01.004,99.37.00
32.01.01.005,99.37.00
32.01.01.006,99.37.00
32.01.01.007,99.37.00
32.01.01.008,99.37.00
32.01.01.009,99.37.00
32.01.01.010,99.37.00
32.01.01.011,99.37.00
32.01.01.012,99.37.00
32.01.01.013,99.37.00
32.01.01.014,99.37.00
32.01.01.015,99.37.00
32.01.01.016,99.37.00
32.01.01.017,99.37.00
50.04.01.002,34.25.00
50.04.01.004,34.25.00
50.04.01.009,34.25.00
50.04.02.002,34.25.00
50.04.02.004,34.25.00
50.16.01.009,99.37.00
9990002B48,99.37.00
9990002B49,99.37.00
